https://api-na-adrv2.padsv.gungho.jp/api.php?action=clear_dungeon;pid;sid;hash;tmd;nxc;;dung;floor;v;c;r;m;key;e_key;e_chksum;ss;;;s;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;sm;cm
168;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;4a2636b6;6b6362a4;10;1;2;215;1300;0;25F6A422;D1;70;207f7078;10:46:16;0:00:05;349706;1f57ed9b;224e6a72;87223c50;23794361;aa9aa674;9094af3e;a93586dc;8199daeb;eaf77049;caf7b348;79b069ad;af2c5c04;b1f81680;e29f2bb;7ebc1f3;2e6616bc;5ba51f66;84bc591d;197c4c51;da44a752;0
169;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;48d161c0;0c161d84;10;1;2;215;1300;0;32D080CC;EC;13;207f707d;10:46:21;0:00:05;349706;6837bac4;a4c31092;21485f86;2b844c0b;fa7c520a;56cc983e;6c1733d5;5b23b832;dccd0da9;8ccf96f3;f80f2aeb;7cfd5337;1d180ef1;bdb72e18;b2b64a07;f886cea2;ebd9d0bd;bc9e28e4;48dd318e;da44a76f;0
170;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;edbd1c80;08c1dbde;10;1;2;215;1300;0;2B1EDC77;FE;14;207f7083;10:46:27;0:00:06;349706;f2dd4a94;a7b5a4bb;a71056d8;cec46dde;5a59e8bc;77dc4973;bc5a69cb;602ff4ed;32349750;756a6f36;8fb5df9c;40c5268e;373ed2bb;f6c74220;4c762086;b7df11b7;65b10bf1;32df3d6c;e81e1171;da44a764;0
171;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;88d58268;86285d88;10;1;2;215;1300;0;6F2BC411;FF;F9;207f7088;10:46:32;0:00:05;349706;3bbc17c1;2a2a4ada;41367a0d;d6ce7e83;aa3b9432;3e143273;7f3c16c0;39bad234;240b34b1;37424559;e15a0da;e96258d;a25fcb2b;a6557d7d;f741a89a;81fec99d;f5e5bd47;6ab88d37;177ff6ae;da44a761;0
172;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;468a641f;f146a864;10;1;2;215;1300;0;2CF07D55;FC;94;207f708d;10:46:37;0:00:05;349706;849ce532;ac9ff0fa;db5d9d43;ded94e35;fa1d41c0;44c1b73;421ec3b9;1344af7a;15e1d212;f91ab8fd;8c746217;dc6724a8;d7fc39b;55e3b8da;a20c30ae;4c1e8184;86196e9d;a2991cf1;46dfdbeb;da44a77e;0
173;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9ae1a99b;b99a1ea9;10;1;2;215;1300;0;32328EEE;11;A2;207f7092;10:46:42;0:00:05;349706;cd7bb21f;2f139725;7583c0f1;e6e35fde;49ffed56;ca840473;50070b1;ecce8cc1;7b76f72;baf29e60;ad42355;aa381ba3;789fbc0b;571f436;4cd7b8c3;163d396a;164e1ff3;d97aecb8;7640c127;da44a77b;0
174;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+f0bbffa;affbb0f+;10;1;2;215;1300;0;D725A1CC;41;FA;207f7097;10:46:47;0:00:05;349706;165b7f48;b1883d45;fa9e426;eeee2883;99e29ae4;90bced73;c7e31da6;c6596a07;f98e0cd3;7ccaf584;8933e493;78091ab2;e3bfb478;b4fe2f93;f7a240d7;e05df151;a682d149;11547c03;a5a1a664;da44a770;0
175;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9fcb5487;7845bcf9;10;1;2;215;1300;0;62C9BDFF;7B;B1;207f709c;10:46:52;0:00:05;349706;5f3a4cb5;33fde365;a9d00754;f6f93835;e9c4467a;56f4d673;8ac5ca9f;9fe3474e;eb64aa34;3ea5eb2f;793a5d1;45da1949;4edface8;648c6aef;a26dc8eb;aa7ca937;36b6829f;4935c3ca;d5028ba1;da44a78d;0
176;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f943c630;036c349f;10;1;2;215;1300;0;ED1080EE;DC;F5;207f70a1;10:46:57;0:00:05;349706;a81a19e6;b6728984;43f62a8a;ff0309de;39a6f209;1d2cbf73;4da77794;796d2494;dd3a4794;7dc153;85f3670f;13ab1844;b9ffa558;141aa64c;4d3850ff;749c611d;c6ea33f5;81165395;46370de;da44a78a;0
177;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;ff371b08;80b173ff;10;1;2;215;1300;0;94618100;95;62;207f70a6;10:47:02;0:00:05;349706;f0f9e6d3;38e62fa4;de1d4e38;70e1a83;89899f9f;e364a873;1089248d;52f701db;cf11e4f5;c25524f6;452284d;e17c1f37;251f9dc8;c3a7e1a9;f803d914;3ebc1904;571ee54b;b9f7235f;33c4561b;da44a787;0
178;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;88d58268;86285d88;10;1;2;215;1300;0;7EA9BCEE;5E;04;207f70ab;10:47:07;0:00:05;349706;39d9b43c;bb5bd5c7;7843716d;f19ea35;d96b4b2d;a99c9173;d36cd185;2c82df21;c0e78255;842d1a1a;82b2e98b;af4d1e27;903f9638;73351d05;a2ce6128;8dbd0ea;e75296a1;f1d0b326;63243b58;da44a79c;0
179;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+b6fed63;36def6b+;10;1;2;215;1300;0;6.65E+92;F7;18;207f70b0;10:47:12;0:00:05;349706;82b88169;3dd07be7;126994a3;1723fbde;294df0a3;6fd47a73;964e7e7a;60cbc68;b2bd1fb6;460571bd;111aac9;7d1f1d24;fb5f8ea8;22c35862;4d99e93c;d2fb88d1;778747f7;29b102e1;92852095;da44a799;0
180;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8dbf2d54;45d2fbd8;10;1;2;215;1300;0;E04394EE;4B;C9;207f70b5;10:47:17;0:00:05;349706;cb984e5a;c0442206;ac90b7d1;1f2ec480;79309c31;360c6373;59302b73;df9699ae;a494bd17;7dd5721;7f716c07;4af01c31;66808718;d25093be;f8647151;9d1a40b7;7bbf94d;619392a8;c1e605d2;da44a796;0
181;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f2e5474e;e4745e2f;10;1;2;215;1300;0;96BCD0DD;CF;42;207f70ba;10:47:22;0:00:05;349706;14771b87;42b9c826;46b6db06;2738d435;c91249c7;fc444c73;1c12d868;b92176f5;966a5a77;c9b54d45;fdd12d45;18c1133a;d1a07f89;81decf1b;a32ff965;673af89d;97efaaa3;986c6273;f147eb0f;da44a793;0
182;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;1a273fa0;0af372a1;10;1;2;215;1300;0;9E4BC522;F8;6A;207f70bf;10:47:27;0:00:05;349706;5d57e8f0;c52e6e41;e0ddfeb4;2f43a5de;18f4f55a;c27c3573;def58561;92ab543c;8840f7d8;8b8ca0e8;7c30ee83;e692123b;3cc077f9;316c0a78;4dfa8179;3159b084;28235bf9;d04df23d;20a8d04c;da44a7a8;0
183;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;54780b70;07b08745;10;1;2;215;1300;0;CB89B855;18;F4;207f70c4;10:47:32;0:00:05;349706;a636b5dd;47a21461;7b0321ea;374eb680;68d6a2e8;88b41e73;a1d73259;6c353182;7a179539;4d64860c;fa90afc0;b4631130;a7e07069;e0fa45d4;f8c5098e;fb79686a;b8570d4f;82e4184;5009b589;da44a7a5;0
184;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b7cad092;290dac7b;10;1;2;215;1300;0;4456A555;E1;C4;207f70c9;10:47:37;0:00:05;349706;ef16830e;ca17ba80;15294518;3f588635;b8b94e7e;4eec0773;64b9df4e;45bf0ec9;6bed3299;f3cfdb7;78ef70fe;8234103d;130068d9;90878131;a39091a2;c5982051;488bbea5;400fd14f;7f699ac5;da44a7a2;0
185;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;1473eac8;8cae3741;10;1;2;215;1300;0;2889B955;56;F5;207f70ce;10:47:42;0:00:05;349706;37f5507b;4c8c60a0;af50684d;476397de;89bfa0c;1524f070;279b8c47;1f4aec0f;5dc3cffa;d114d3db;f74f323c;5005173e;7e206149;4015bc8d;4e5b19b6;8fb8d837;d8c06ffb;78e8a116;aeca8002;da44a7bf;0
186;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;dae5cb43;34bc5ead;10;1;2;215;1300;0;C6C7AD88;8C;81;207f70d3;10:47:47;0:00:05;349706;80d51da4;cf0006c3;49768b83;4f6e6080;587da782;db5cd970;ea7e393c;f8d4c956;4f9a6d5b;92ecc97e;75aff37a;1dd6163f;e94059b9;efa3f7ea;f926a1cb;59d7901d;68f42152;b0c930d1;de2b653f;da44a7b4;0
187;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;17369713;31796371;10;1;2;215;1300;0;5A76A566;60;25;207f70d8;10:47:52;0:00:05;349706;c9b5ea91;5175ace3;e39daf31;57787035;a8605310;a193c270;ad60e634;d25ea69c;41700abb;54c42ce2;f40eb4b8;eba7153c;54605229;9f303347;a3f129df;23f74804;f928d2a8;e8ab809b;d8c4a7c;da44a7b1;0
188;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c5b877e3;3e778b5c;10;1;2;215;1300;0;EC3CCE99;F2;1D;207f70dd;10:47:57;0:00:05;349706;1294b7c2;d3ea5302;7dc3d266;5f8341de;f842f8a6;67cbab70;7042932d;abe983e3;3346a81c;169c0205;726e75f6;b97814b9;bf814a99;4ebe6ea3;4ebbb1f3;ee16ffea;895c83fe;20841062;3ced2fb9;da44a7ce;0
189;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c47b242e;e242b74c;10;1;2;215;1300;0;5E6DD6AA;A9;AE;207f70e2;10:48:02;0:00:05;349706;5b74852f;565ef922;17eaf594;678d5280;4824a435;2e039470;33244022;85736129;251d457c;d87779a9;f0cd3734;87490bb2;2aa142f6;fe4caa00;f9863a08;b836b7d1;19903554;5765e02d;6c4e14f6;da44a7cb;0
190;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a688534b;b435886a;10;1;2;215;1300;0;581CCB00;15;64;207f70e7;10:48:07;0:00:05;349706;a4535218;d8d39f4d;b21018ca;6f982235;980651cb;f43b7d70;f607ed1b;5efd3e70;16f3e2dd;9a4f5fcc;6f2df872;551b0aa3;95c13b66;addae55c;a451c21c;82566fb7;a9c4e6aa;8f4677f4;9baefa33;da44a7c0;0
191;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;++d2ee9f;f9ee2d++;10;1;2;215;1300;0;C64BC8AA;90;EF;207f70ec;10:48:12;0:00:05;349706;ed331f45;5b48456d;4c363c78;77a333de;e7e9fd59;ba736670;b8e99a10;38871bb6;8c9803e;5c27b570;ed8cb9b0;22ec09b8;e133d6;5d6720b9;4f1c4a30;4c75279d;39f99800;c727c7be;cb0fdf70;da44a7dd;0
192;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b145530f;f035541b;10;1;2;215;1300;0;19D49AAA;30;9D;207f70f1;10:48:17;0:00:05;349706;3612ecb6;ddbceb8c;e65d5fad;7fad3c80;37cbaaef;80ab4f70;7bcb4708;1212f8fd;fa9f1d9e;1dffa89b;6bec7aee;f0bd08b5;6c012c46;cf55c15;f9e7d244;1695df84;ca2d4956;ff005779;fa70c4ad;da44a7da;0
193;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+e8095f0;0f5908e+;10;1;2;215;1300;0;EE38B133;21;59;207f70f6;10:48:22;0:00:05;349706;7ef2b9e3;603191ac;808382e3;87b80c35;87ad567d;46e33870;3eadf401;eb9cd644;ec76baff;dfd78e3f;ea4c3c2c;be8e0f81;d72124b6;bc839772;a4b25a59;e0b4976a;5a61faac;37e226c0;29d1a9ea;da44a7d0;0
194;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f47a1c44;44c1a74f;10;1;2;215;1300;0;09EDD8EE;A4;75;207f70fb;10:48:27;0:00:05;349706;c7d186cc;e2a637cf;1aaaa611;8fc21ddf;d79003f3;d1b2170;18fa0f6;c526b38a;de4c5860;a1afe5a2;68abfd69;8c5f0eb6;42411d26;6c10d2cf;4f7de26d;aad44f51;ea95ac02;6fc3b68b;59328f27;da44a7ed;0
195;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aff07e19;91e70ffa;10;1;2;215;1300;0;9FE393BB;24;99;207f7100;10:48:32;0:00:05;349706;10b15439;651bddef;b4d0c947;97cdee80;2772af86;d3530a70;c4724def;9eb190d1;d022f5c0;6387dbc6;e70bbea7;5a300db7;ad611596;1b9e0e2b;fa486a81;74f30737;7ac95d58;a79c0652;88937464;da44a7ea;0
196;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2afe90dd;dd09efa2;10;1;2;215;1300;0;B509BB99;6C;04;207f7105;10:48:37;0:00:05;349706;5990216a;e78f840e;4ef6ecf4;9fd8fe35;77545b14;998bf370;8754fae4;783b6e17;c1f99321;255e3169;656a7fe5;28010ca7;18810e07;cb2c4988;a513f296;3f13bf1d;afe0eae;de7d961c;b7f359a0;da44a7e7;0
197;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a140297d;d792041a;10;1;2;215;1300;0;45949988;EC;95;207f710a;10:48:42;0:00:05;349706;a270ee57;6a042a2e;e91d102a;a7e2cfdf;c73700aa;5fc3dc70;4a36a7dc;51c54b5e;b3cf3081;e736148d;e3ca4123;f5d203b6;83a20677;7ab984e4;4fde7aaa;9327704;9b32c004;165e65e7;e7543edd;da44a7fc;0
198;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;ba294f74;47f492ab;10;1;2;215;1300;0;B80FE166;67;A6;207f7110;10:48:48;0:00:06;349706;2d167e67;6cf6be57;6ee5077c;4b22e8a2;27139d5c;80d38d45;9a79ddd3;56d18819;937ba29;cfd5edd0;7b70f5d4;b99ad62d;9dc8ca31;b3ca98ed;e99e5129;c88bba18;150afb38;8d984a6f;86951ec0;da44a7f9;0
199;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;87cbd87c;c78dbc78;10;1;2;215;1300;0;13949988;69;D5;207f7115;10:48:53;0:00:05;349706;75f54b50;ef6b6476;90b2ab2;532df857;76f54ad2;470b7645;5d5b8ac8;305c655f;fb0d5789;91adc37b;f9d0b712;876bd528;8e8c2a1;6358d44a;9469d93d;92ab71ff;a53eac8e;c479da36;b5f603fd;da44a7f6;0
200;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;97f1020e;e0201f79;10;1;2;215;1300;0;ED4BC8AA;A6;97;207f711a;10:48:58;0:00:05;349706;bed518bd;71e00a96;a3314de7;5b38c9f9;c6d7f660;d435f45;203d37c0;9e642a6;ece3f4ea;5385269f;782f7850;553cd433;7408bb11;12e50fa6;3f346151;5cca29e5;35725de4;fc5aa9f1;e557e93a;da44a7f3;0
201;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a0d4fe73;37ef4d0a;10;1;2;215;1300;0;2E0187DD;DF;2E;207f711f;10:49:03;0:00:05;349706;7b4e5ee;f454b0b1;3d587115;6342daa2;16baa3f6;d37b4845;e320e4b9;e3701fec;deba924b;155d1c02;f68f398e;230dcac2;df28b38e;c2734b03;e9ffe966;26eae1cb;c5a60f3a;343b39b8;14b8ce77;da44a608;0
202;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f68119e5;5e91186f;10;1;2;215;1300;0;AC0BC400;51;00;207f7124;10:49:08;0:00:05;349706;5094b2db;76c956d1;d77e944b;6b4daa57;669c4f84;99b33145;a60291ae;bcfbfd33;d0902fab;d73573a6;74eefacc;f0decbc9;4a49abfe;72018660;94ca717a;f10999b2;55dbc090;6c148903;4419b3b4;da44a605;0
203;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e2e01dbc;cbd10e2e;10;1;2;215;1300;0;FA5EDC99;CE;F4;207f7129;10:49:13;0:00:05;349706;99738004;f93efcf1;71a5b7f9;7357bbf9;b67efb1a;5feb1a45;68e43ea7;9685da79;c266cd0c;990d69c9;f34ebc09;beafc8b4;b569a46e;218ec1bc;3f95f98e;bb295198;e60f71e6;a4f518cd;737998f1;da44a602;0
204;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f7cef13a;a31fec7f;10;1;2;215;1300;0;A61EDFFF;96;B9;207f712e;10:49:18;0:00:05;349706;e2534d71;7bb2a310;bcbdb2e;7b6284a2;661a0a9;26230345;2bc6eb9c;700fb7c0;b43d6a6c;5ae44f6d;71ad7d47;8c80c9a7;20899cde;d11cfd19;ea6081a3;8549097f;7643233d;dcd7e894;a2da7e2e;da44a61f;0
205;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d15f2193;3912f51d;10;1;2;215;1300;0;F39ED933;C7;7F;207f7133;10:49:23;0:00:05;349706;2b321aa2;fe274930;a5f1fe5c;836d9457;56434c3f;ec5bec42;eea99894;49999507;a61307cd;1cbca290;f00d3e85;5a51ceb6;8ba9954e;80aa3875;952b09b7;4f68c165;677d493;14b0785f;d23b636b;da44a614;0
206;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;668432a3;3a234866;10;1;2;215;1300;0;06107D66;9D;04;207f7138;10:49:28;0:00:05;349706;7412e78f;809cef53;40182192;8b7765f9;a625f9cd;b293d542;b18b458d;2324724d;97e9a52e;de949834;6e6dffc3;2823cfb4;f6c98dbe;303773d2;3ff691cb;1988794b;96ab85e9;4c91c826;19c48a7;da44a611;0
207;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2fc83bc9;9cb38cf2;10;1;2;215;1300;0;36B07C33;D7;95;207f713d;10:49:33;0:00:05;349706;bcf1b4f8;3119573;da3e44c7;938276a2;f608a543;78cbbe42;746df282;fcae4f94;89c0428e;a06cfe5f;ecccc101;f5f4cc81;61e9862e;dfc5af2f;eac119e0;e3a73132;26df373f;83725fe0;30fd2de4;da44a62e;0
208;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;795b83e0;0e38b597;10;1;2;215;1300;0;79CDD7DD;45;A0;207f7142;10:49:38;0:00:05;349706;5d18225;85853b92;74656875;9b8c4657;45ea52d1;3f03a742;374f9f7b;d6382cda;7b96dfef;6244d5c3;6b2c823f;c3c5cdba;cd097e9f;8f53ea8b;958ca1f4;adc7e918;b714e895;bb532fab;605e1321;da44a62b;0
209;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;82e22d90;09d22e28;10;1;2;215;1300;0;4CE7AA11;BF;6C;207f7147;10:49:43;0:00:05;349706;4eb14f16;7fae1b2;e8b8bab;a39757f9;95ccfe67;53b9042;fa324c70;afc30a21;6d6c7d50;241ccb66;e98b437d;9196c2bb;3829770f;3ee125e8;40572a08;77e6a0ff;474899eb;f32cbf72;8fbef85e;da44a620;0
210;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5da0353e;e3530ad5;10;1;2;215;1300;0;C77ABF44;B1;48;207f714c;10:49:48;0:00:05;349706;97901c43;8a6f87dd;a8b1aed9;aba220a2;e5aeabf5;cb737942;bd14f968;894de767;5f431ab0;e5f42e8a;67eb04bb;5f67c3a0;a3496f7f;ee6e6144;eb22b21d;420658e5;d77c4b41;2b0d0f3d;bf1fdd9b;da44a63d;0
211;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a229d469;964d922a;10;1;2;215;1300;0;A80BC400;4D;EC;207f7151;10:49:53;0:00:05;349706;e070e9ac;ce32dfd;42d8d20e;b3ac3057;35915788;91ab6242;7ff6a661;62d7c4ae;5119b811;a7cc042d;e64bc5f9;2d38c0bd;e6a67ef;9dfc9ca1;95ed3a31;c2510cb;67b0fc97;63ef9e84;ee80c2d8;da44a63a;0
212;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f7cef13a;a31fec7f;10;1;2;215;1300;0;81949600;28;83;207f7156;10:49:58;0:00:05;349706;294fb699;8f58d41c;dcfef5bc;bbb701f9;8573031e;57e34b42;42d85356;3c61a1f4;42ef5571;69a77a51;64aa8737;fb09c1be;798a605f;4d8ad7fe;40b8c245;d645c8b2;f7e4aded;9bc86e4e;1de1a815;da44a637;0
213;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5a2b6048;8406b2a5;10;1;2;215;1300;0;35618588;58;5A;207f715b;10:50:03;0:00:05;349706;722f83ca;11cd7a3c;772518f2;c3c212a2;d555a8ac;1e1b3442;5bb004f;15ec7f3b;34c6f2d2;2b7f51f4;e30a4875;c8dac63f;e4aa58cf;fd17135a;eb834a59;a0648098;88195f43;d3a9fe09;4d428d52;da44a64c;0
214;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;168b6c09;90c6b861;10;1;2;215;1300;0;528BC644;40;91;207f7160;10:50:08;0:00:05;349706;bb0e5137;9441205f;114b3c20;cbcce254;25385422;e4531d42;c89dad47;ef765c81;269c9033;ed57b718;616909b2;96abc73c;4fca513f;aca54eb7;964ed26e;6a84387f;184d1099;b8a4dd0;7ca3728f;da44a649;0
215;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;da231df8;8fd132ad;10;1;2;215;1300;0;B4BEDDCC;E1;74;207f7165;10:50:13;0:00:05;349706;3ee1e60;16b6c67f;ab725f55;d3d7f3f9;751a01b0;aa8b0642;8b7f5a3c;c90039c8;18722d93;af2faa83;dfc9caf0;647cc439;baea49af;5c338a13;41195a82;34a3f065;a881c1ef;426bdd9b;ac0357cc;da44a646;0
216;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b475fa9c;c9af574b;10;1;2;215;1300;0;2A218466;05;06;207f716a;10:50:18;0:00:05;349706;4ccdeb4d;992b6c9e;4598828b;dbe1fca2;c4fcad46;70c3ef42;4e610735;a28b170f;a48caf4;71078027;5e298c2e;324dc522;260a421c;bc1c570;ebe4e296;fec3a84b;38b57345;7a44ad62;db643d09;da44a643;0
217;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;3ae3ba6f;f6ab3ea3;10;1;2;215;1300;0;5E949600;10;69;207f716f;10:50:23;0:00:05;349706;95adb8be;1b9f12be;dfbea639;e3eccc54;14de5ad5;36fad842;1144b42a;7c15f455;fc1f6855;32dfe64a;dc884d6c;1fba33;912a3a8c;bb4e00cc;96af6aab;c8e36032;c8e9249b;b2263d2c;ac52245;da44a658;0
218;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;195d94b4;4b49d591;10;1;2;215;1300;0;987CCC33;FA;E3;207f7174;10:50:28;0:00:05;349706;de8c85eb;9e14b8d9;79e5c96e;ebf7ddf9;64c1066b;fd32c142;d4266123;559fd19c;edf505b5;f4b7ddee;5ae80eaa;cdf0bb38;fc4a32fc;6adc3c29;417af2bf;93021818;591dd5f1;ea078cf7;3a260782;da44a655;0
219;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9817ffaf;faff7189;10;1;2;215;1300;0;0A96A677;4E;0B;207f7179;10:50:33;0:00:05;349706;276c52d4;20895ef9;140bec9c;f401aea2;b4a3b3f9;c36aaa42;97080e1b;2f29aee2;dfcba316;b68e3311;d947cfe8;9bc1b805;676b2b6c;1a6a7786;ec447ad3;5d22cfff;e9528747;22e01cbe;6987ecbf;da44a652;0
220;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a95a7bf6;6fb7a59a;10;1;2;215;1300;0;ACE186CC;35;0C;207f717e;10:50:38;0:00:05;349706;704b2001;a2fd0518;ae320fd2;fc0cbe54;4855f8f;89a29342;59eabb10;8b48c29;d1a24076;786616b5;57a79126;6992b931;d28b23dc;c9f7b2e2;970f02e8;274187e5;7986389d;5ac1ec79;98e8d1fc;da44a668;0
221;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c68221cf;fc12286c;10;1;2;215;1300;0;33E39033;16;BD;207f7183;10:50:43;0:00:05;349706;b92bed72;2572ab38;48583300;4178ff9;54680b1d;4fda7c42;1ccd6809;e23e696f;c378ddd7;3a3e0cd8;d6075264;3763be26;3dab1c4c;7985ee3f;41da8afc;f1613fcb;9bae9f4;92a273c3;c848b739;da44a665;0
222;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b0177bba;abb7710b;10;1;2;215;1300;0;E9328A66;B1;19;207f7188;10:50:48;0:00:05;349706;20aba5f;a7e7515b;e27e56b5;c2198a2;a44ab093;16126543;dfaf14fe;bbc846b6;b54e7b38;fc16627c;546613a2;534bf27;a8cb14bc;2913299b;eca51310;bb80f7b2;99ee9b4a;ca83c38a;f7a99c76;da44a662;0
223;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e1444a25;52a4441e;10;1;2;215;1300;0;8C16A433;8E;3B;207f718d;10:50:53;0:00:05;349706;4aea8788;2a5bf77b;7ca579eb;142c6854;f42c5c21;dc4a4e43;a291c1f7;955323fc;a7251898;bdee59e0;d2c6d4e0;d305bc37;13eb0d2d;d8a064f8;97709b25;85a0af98;2a224ca0;15d5355;270a81b3;da44a67f;0
